Comp. Result ID,Start Time,Duration,Batch,Worker ID,Worker Type,State,Data Size,Files (Size),Message,exp_start
20142,6/30/2021 14:28,0:17:54,Participant link 445,11922,Personal Single,FINISHED,4.6 MB,none,none,Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est)
20118,6/29/2021 23:27,0:16:09,Participant link 465,12902,Personal Single,FINISHED,4.6 MB,none,none,Tue Jun 29 2021 23:27:56 GMT-0400 (Eastern Daylight Time)
19996,6/24/2021 12:38,not yet,Participant link 460,12739,Personal Single,RESULTDATA_POSTED,4.5 kB,none,none,Thu Jun 24 2021 12:38:53 GMT-0400 (Eastern Daylight Time)
19805,6/14/2021 9:36,0:03:03,Participant link 452,12254,Personal Single,FAIL,27.3 kB,none,none,Mon Jun 14 2021 09:37:36 GMT-0400 (Eastern Daylight Time)
18617,5/21/2021 18:43,not yet,Participant links 405-408,5679,Personal Single,STARTED,0 B,none,none,
17406,5/5/2021 11:54,0:19:30,Participant links 405-408,5678,Personal Single,FINISHED,4.6 MB,none,none,Wed May 05 2021 11:54:33 GMT-0400 (Eastern Daylight Time)
17277,5/1/2021 3:54,0:15:44,Participant link 441,11032,Personal Single,FINISHED,4.6 MB,none,none,Sat May 01 2021 03:55:04 GMT-0400 (Eastern Daylight Time)
17236,4/30/2021 2:36,0:01:45,Participant links 389-399,5669,Personal Single,FAIL,1 B,none,none,
16781,4/20/2021 19:38,0:17:38,Participant links 389-399,5668,Personal Single,FINISHED,4.6 MB,none,none,Tue Apr 20 2021 19:40:26 GMT-0400 (heure avancée de l’Est)
16599,4/16/2021 19:06,0:19:59,Participant links 389-399,5664,Personal Single,FAIL,4.6 MB,none,none,Fri Apr 16 2021 19:07:17 GMT-0400 (Eastern Daylight Time)
14854,4/14/2021 15:57,0:20:35,Participant links 389-399,5667,Personal Single,FINISHED,4.6 MB,none,none,Wed Apr 14 2021 15:58:14 GMT-0400 (GMT-04:00)
14548,4/13/2021 20:33,0:17:36,Participant links 389-399,5663,Personal Single,FAIL,4.6 MB,none,none,Tue Apr 13 2021 20:33:56 GMT-0400 (Eastern Daylight Time)
12971,4/7/2021 19:52,0:17:03,Participant links 389-399,5665,Personal Single,FINISHED,4.6 MB,none,none,Wed Apr 07 2021 19:54:06 GMT-0400 (GMT-04:00)
12647,4/6/2021 13:42,0:14:28,Participant link 431,8063,Personal Single,FINISHED,4.6 MB,none,none,Tue Apr 06 2021 13:42:23 GMT-0400 (UTC−04:00)
11885,3/31/2021 16:48,0:15:54,Participant link 433,8065,Personal Single,FINISHED,4.6 MB,none,none,Wed Mar 31 2021 16:49:06 GMT-0400 (GMT-04:00)
11860,3/31/2021 13:53,0:00:12,Participant link 430,8062,Personal Single,FAIL,1 B,none,none,
11816,3/31/2021 8:58,0:17:07,Participant links 186-211,2094,Personal Single,FINISHED,4.6 MB,none,none,Wed Mar 31 2021 08:58:23 GMT-0400 (Eastern Daylight Time)
11779,3/31/2021 1:11,0:02:16,Participant link 347-357,4319,Personal Single,FAIL,564 B,none,none,
11758,3/30/2021 23:20,0:00:03,Participant link 329,4020,Personal Single,FAIL,1 B,none,none,
11752,3/30/2021 23:05,0:03:20,Participant links 186-211,2091,Personal Single,FAIL,1 B,none,none,
