study_id,study_order,lhq_id,lhq_link,jatos_id,jatos_link,recruitment,date_sent,consent_returned,in_quebec,lhq_completed,study_completed,credit_assigned/compensation,comments
S01,Eng-Fr_BL,qche8,https://lhq3.herokuapp.com/student/student_signin/?questionnaire_ID=alf86auf,1807,https://onlinetesting.brams.org/otp/publix/50/start?batchId=218&personalSingleWorkerId=1807&pre,SONA,10/30/2020,yes,yes,yes,no?,yes,Participant couldn't access study so sent new link (old jaots_id: 1268 and old link: https://onlinetesting.brams.org/otp/publix/50/start?batchId=80&personalSingleWorkerId=1268). Participant finished the study but computer froze and we lost the data? Didn't resend link because she claimed to have seen the whole experiment.
S02,Fr-Eng_BL,bznm0,https://lhq3.herokuapp.com/student/student_signin/?questionnaire_ID=alf86auf,1294,https://onlinetesting.brams.org/otp/publix/52/start?batchId=82&personalSingleWorkerId=1294,SONA,10/30/2020,,,yes,,,
S03,Eng-Fr_BR,ltgk5,https://lhq3.herokuapp.com/student/student_signin/?questionnaire_ID=alf86auf,1841,https://onlinetesting.brams.org/otp/publix/51/start?batchId=224&personalSingleWorkerId=1841&pre,SONA,10/30/2020,yes,yes,yes,yes,yes,Participant couldn't access study so sent new link (old jaots_id: 1237 and old link: https://onlinetesting.brams.org/otp/publix/51/start?batchId=78&personalSingleWorkerId=1237)
S04,Fr-Eng_BR,fzgb1,https://lhq3.herokuapp.com/student/student_signin/?questionnaire_ID=alf86auf,1707,https://onlinetesting.brams.org/otp/publix/53/start?batchId=205&personalSingleWorkerId=1707&pre,SONA,10/30/2020,yes,yes,yes,yes,yes,Participant adjusted their volume and accidentally skipped instructions so had to provide a new link. Old jatos id: 1319 and old link: https://onlinetesting.brams.org/otp/publix/53/start?batchId=83&personalSingleWorkerId=1319. Participant had a second issue with the link - got an error message and then said study could only be done once so sent new link again (old jatos_id: 1470 old jatos_link: https://onlinetesting.brams.org/otp/publix/53/start?batchId=121&personalSingleWorkerId=1470)
S05,Eng-Fr_BL,dwgi1,https://lhq3.herokuapp.com/student/student_signin/?questionnaire_ID=alf86auf,1820,https://onlinetesting.brams.org/otp/publix/50/start?batchId=222&personalSingleWorkerId=1820&pre,SONA,10/30/2020,yes,yes,yes,yes,yes,"Participant didn't realize experiement would start right away, wasn't ready, sent new linke (old jatos_id: 1269 old link: https://onlinetesting.brams.org/otp/publix/50/start?batchId=80&personalSingleWorkerId=1269)"
S06,Fr-Eng_BL,nljt7,https://lhq3.herokuapp.com/student/student_signin/?questionnaire_ID=alf86auf,1938,https://onlinetesting.brams.org/otp/publix/52/start?batchId=234&personalSingleWorkerId=1938&pre,SONA,10/30/2020,,,yes,,,Participant had error message that batch was inactive so sent a new link (old jatos_id: 1295 old link: https://onlinetesting.brams.org/otp/publix/52/start?batchId=82&personalSingleWorkerId=1295). Had another problem old jatos id: 1791 and old link: https://onlinetesting.brams.org/otp/publix/52/start?batchId=216&personalSingleWorkerId=1791&pre
S07,Eng-Fr_BR,aqcx7,https://lhq3.herokuapp.com/student/student_signin/?questionnaire_ID=alf86auf,1238,https://onlinetesting.brams.org/otp/publix/51/start?batchId=78&personalSingleWorkerId=1238,SONA,10/30/2020,,,,,,
S08,Fr-Eng_BR,kusr8,https://lhq3.herokuapp.com/student/student_signin/?questionnaire_ID=alf86auf,1320,https://onlinetesting.brams.org/otp/publix/53/start?batchId=83&personalSingleWorkerId=1320,SONA,10/30/2020,no,no,no,no,no,Participant cancelled their sign up for the study via SONA.
S09,Eng-Fr_BL,jmhb1,https://lhq3.herokuapp.com/student/student_signin/?questionnaire_ID=alf86auf,1270,https://onlinetesting.brams.org/otp/publix/50/start?batchId=80&personalSingleWorkerId=1270,SONA,10/30/2020,no,no,yes,no,no,Participant cancelled their sign up for the study via SONA.
S10,Fr-Eng_BL,bpox3,https://lhq3.herokuapp.com/student/student_signin/?questionnaire_ID=alf86auf,1436,https://onlinetesting.brams.org/otp/publix/52/start?batchId=120&personalSingleWorkerId=1463,SONA,10/30/2020,yes,yes,yes,no,yes,"Had an issue with link (got an error message that said the batch was inactive) so sent new link. Old jatos_id: 1296 and old link: https://onlinetesting.brams.org/otp/publix/52/start?batchId=82&personalSingleWorkerId=1296). Was unable to complete the study in the end, problem with the program so assigned the credit anyways."
