Comp. Result ID ,Start Time ,Duration ,Batch,Worker ID ,Worker Type ,State ,Files ,Message ,exp_start
5733,2/2/2021 21:16,0:18:45,Participant link 334,4274,Personal Single,FINISHED,none,none,Tue Feb 02 2021 21:17:09 GMT-0500 (Eastern Standard Time)
5517,1/29/2021 17:58,0:01:25,Participant links 186-211,2090,Personal Single,FAIL,none,none,
5232,1/23/2021 17:30,0:16:04,Participant links 186-211,2084,Personal Single,FINISHED,none,none,Sat Jan 23 2021 17:30:15 GMT-0500 (Eastern Standard Time)
5208,1/22/2021 21:10,0:18:59,Participant links 186-211,2082,Personal Single,FINISHED,none,none,Fri Jan 22 2021 21:10:41 GMT-0500 (GMT-05:00)
5205,1/22/2021 19:22,0:00:00,Participant link 324,3994,Personal Single,FAIL,none,none,
5201,1/22/2021 17:52,16:30:19,Participant link 325,3996,Personal Single,FAIL,none,none,
5197,1/22/2021 15:51,0:00:10,Participant links 186-211,2088,Personal Single,FAIL,none,none,
5106,1/21/2021 18:27,0:05:06,Participant links 186-211,2087,Personal Single,FAIL,none,none,Thu Jan 21 2021 18:27:46 GMT-0500 (Eastern Standard Time)
4792,1/16/2021 20:01,0:26:19,Participant links 186-211,2081,Personal Single,FINISHED,none,none,Sat Jan 16 2021 20:10:32 GMT-0500 (GMT-05:00)
2982,12/15/2020 16:14,0:18:36,Participant links 51-55,1288,Personal Single,FINISHED,none,none,Tue Dec 15 2020 16:14:41 GMT-0500 (Eastern Standard Time)
2907,12/12/2020 10:30,not yet,Participant link 318,2367,Personal Single,RESULTDATA_POSTED,none,none,Sat Dec 12 2020 10:30:49 GMT-0500 (Eastern Standard Time)
2906,12/11/2020 17:47,1:20:35,Participant link 317,2366,Personal Single,FAIL,none,none,Fri Dec 11 2020 17:47:44 GMT-0500 (Eastern Standard Time)
2904,12/11/2020 9:07,0:17:38,Participant links 51-55,1290,Personal Single,FINISHED,none,none,Fri Dec 11 2020 09:08:11 GMT-0500 (Eastern Standard Time)
2902,12/10/2020 18:19,6:01:26,Participant links 186-211,2078,Personal Single,FAIL,none,none,
