Comp. Result ID ,Start Time ,Duration ,Batch,Worker ID ,Worker Type ,State ,Files ,Message ,exp_start
5653,2/1/2021 19:30,0:18:13,Participant link 358,4381,Personal Single,FINISHED,none,none,Mon Feb 01 2021 19:30:19 GMT-0500 (Eastern Standard Time)
5598,1/31/2021 17:29,0:00:24,Participant link 346,4308,Personal Single,FAIL,none,none,
5571,1/30/2021 18:22,0:00:07,Participant links 214-239,2124,Personal Single,FAIL,none,none,
5435,1/27/2021 19:16,0:18:05,Participant links 214-239,2129,Personal Single,FINISHED,none,none,Wed Jan 27 2021 19:17:09 GMT-0500 (Eastern Standard Time)
5393,1/26/2021 18:06,0:14:42,Participant link 333,4129,Personal Single,FINISHED,none,none,Tue Jan 26 2021 18:06:23 GMT-0500 (Eastern Standard Time)
5389,1/26/2021 16:37,0:05:25,Participant 325,3995,Personal Single,FAIL,none,none,
5231,1/23/2021 16:47,0:15:23,Participant link 323,3963,Personal Single,FINISHED,none,none,Sat Jan 23 2021 16:48:11 GMT-0500 (Eastern Standard Time)
5224,1/23/2021 15:19,0:17:05,Participant links 214-239,2127,Personal Single,FINISHED,none,none,Sat Jan 23 2021 15:19:37 GMT-0500 (Eastern Standard Time)
5209,1/22/2021 22:07,0:15:14,Participant links 214-239,2125,Personal Single,FINISHED,none,none,Fri Jan 22 2021 22:07:41 GMT-0500 (Eastern Standard Time)
5107,1/21/2021 20:08,0:09:10,Participant links 214-239,2123,Personal Single,FAIL,none,none,
5050,1/20/2021 21:13,0:02:26,Participant links 214-239,2121,Personal Single,FAIL,none,none,
4955,1/19/2021 12:41,not yet,Participant links 214-239,2120,Personal Single,RESULTDATA_POSTED,none,none,
4660,1/14/2021 19:27,0:16:52,Participant links 214-239,2119,Personal Single,FINISHED,none,none,Thu Jan 14 2021 19:28:36 GMT-0500 (Eastern Standard Time)
4379,1/11/2021 16:09,0:19:25,Participant link 320,3444,Personal Single,FINISHED,none,none,Mon Jan 11 2021 16:10:18 GMT-0500 (Eastern Standard Time)
4377,1/11/2021 15:42,0:15:30,Participant links 214-239,2117,Personal Single,FINISHED,none,none,Mon Jan 11 2021 15:42:22 GMT-0500 (GMT-05:00)
3937,12/30/2020 15:29,0:05:16,Participant links 214-239,2115,Personal Single,FAIL,none,none,
3580,12/23/2020 15:06,0:24:22,Participant link 314,2350,Personal Single,FAIL,none,none,Wed Dec 23 2020 15:07:28 GMT-0500 (GMT-05:00)
2939,12/14/2020 13:22,0:27:40,Participant link 319,2392,Personal Single,FAIL,none,none,Mon Dec 14 2020 13:23:31 GMT-0500 (Eastern Standard Time)
2938,12/14/2020 9:26,not yet,Participant links 56-80,1301,Personal Single,RESULTDATA_POSTED,none,none,
2874,12/8/2020 18:59,0:19:24,Participant links 214-239,2114,Personal Single,FAIL,none,none,Tue Dec 08 2020 19:00:18 GMT-0500 (heure normale de l’Est)
2810,12/7/2020 11:02,not yet,Participant links 56-80,1302,Personal Single,RESULTDATA_POSTED,none,none,
2798,12/7/2020 0:13,0:15:10,Participant links 214-239,2111,Personal Single,FINISHED,none,none,Mon Dec 07 2020 00:13:51 GMT-0500 (Eastern Standard Time)
2794,12/6/2020 22:05,2:15:54,Participant links 214-239,2113,Personal Single,FINISHED,none,none,Sun Dec 06 2020 22:21:16 GMT-0500 (Eastern Standard Time)
2781,12/6/2020 16:24,0:18:11,Participant link 296,2191,Personal Single,FINISHED,none,none,Sun Dec 06 2020 16:25:02 GMT-0500 (GMT-05:00)
2774,12/6/2020 1:06,not yet,Participant links 56-80,1316,Personal Single,RESULTDATA_POSTED,none,none,
2767,12/5/2020 18:30,2:56:17,Participant links 56-80,1299,Personal Single,FINISHED,none,none,Sat Dec 05 2020 21:04:14 GMT-0500 (Eastern Standard Time)
2748,12/4/2020 22:42,not yet,Participant link 133,2021,Personal Single,RESULTDATA_POSTED,none,none,
2709,12/4/2020 16:21,0:48:38,Participant links 56-80,1318,Personal Single,FAIL,none,none,
2604,12/1/2020 10:47,0:18:10,Participant links 56-80,1303,Personal Single,FINISHED,none,none,Tue Dec 01 2020 10:47:55 GMT-0500 (GMT-05:00)
2549,11/29/2020 21:00,0:16:51,Participant links 56-80,1311,Personal Single,FAIL,none,none,Sun Nov 29 2020 21:00:38 GMT-0500 (GMT-05:00)
2545,11/29/2020 17:51,0:21:53,Participant link 126,1881,Personal Single,FINISHED,none,none,Sun Nov 29 2020 17:52:00 GMT-0500 (Eastern Standard Time)
2544,11/29/2020 17:38,0:28:22,Participant link 118,1791,Personal Single,FAIL,none,none,
2518,11/28/2020 16:53,0:21:03,Participant links 56-80,1310,Personal Single,FINISHED,none,none,Sat Nov 28 2020 16:53:38 GMT-0500 (Eastern Standard Time)
2510,11/27/2020 22:10,not yet,Participant links 56-80,1309,Personal Single,RESULTDATA_POSTED,none,none,
2483,11/25/2020 19:14,1:20:08:05,Participant link 123,1815,Personal Single,FAIL,none,none,
2009,11/4/2020 13:43,0:16:22,Testing Order,1475,Personal Single,FINISHED,none,none,Wed Nov 04 2020 13:43:46 GMT-0500 (Eastern Standard Time)
1942,11/3/2020 17:19,0:03:38,Participant link 107,1463,Personal Single,FAIL,none,none,
1738,10/21/2020 18:39,0:15:59,Default,730,Jatos,FINISHED,none,none,Wed Oct 21 2020 18:39:11 GMT-0400 (Eastern Daylight Time)
