date_startdateUTC,datetime
01-10-20,Sun Nov 01 2020 18:21:27 GMT-0500 (GMT-05:00)
02-02-21,Tue Mar 02 2021 14:21:09 GMT-0500 (Eastern Standard Time)
03-11-20,Thu Dec 03 2020 12:41:37 GMT-0500 (Eastern Standard Time)
05-11-20,Sat Dec 05 2020 12:11:05 GMT-0500 (Eastern Standard Time)
05-11-20,Sat Dec 05 2020 17:37:53 GMT-0500 (GMT-05:00)
06-00-21,Wed Jan 06 2021 17:26:53 GMT-0500 (Eastern Standard Time)
06-01-21,Sat Feb 06 2021 18:46:22 GMT-0500 (Eastern Standard Time)
07-11-20,Mon Dec 07 2020 09:46:12 GMT-0500 (Eastern Standard Time)
07-11-20,Sun Dec 06 2020 21:05:51 GMT-0500 (GMT-05:00)
07-11-20,Sun Dec 06 2020 21:43:26 GMT-0600 (Central Standard Time)
08-02-21,Mon Mar 08 2021 18:14:36 GMT-0500 (Eastern Standard Time)
12-00-21,Tue Jan 12 2021 17:19:35 GMT-0500 (Eastern Standard Time)
13-00-21,Wed Jan 13 2021 14:19:50 GMT-0500 (Eastern Standard Time)
14-11-20,Mon Dec 14 2020 18:01:45 GMT-0500 (Eastern Standard Time)
15-01-21,Mon Feb 15 2021 14:06:28 GMT-0500 (Eastern Standard Time)
18-11-20,Sat Dec 19 2020 00:49:56 GMT+0400 (Gulf Standard Time)
19-01-21,Fri Feb 19 2021 15:16:33 GMT-0500 (Eastern Standard Time)
20-01-21,Fri Feb 19 2021 21:12:57 GMT-0500 (heure normale de l’Est nord-américain)
21-00-21,Wed Jan 20 2021 19:35:34 GMT-0500 (Eastern Standard Time)
21-03-21,Wed Apr 21 2021 11:42:09 GMT-0400 (Eastern Daylight Time)
21-09-20,Wed Oct 21 2020 16:37:58 GMT-0400 (Eastern Daylight Time)
21-11-20,Mon Dec 21 2020 17:28:02 GMT-0500 (Eastern Standard Time)
23-00-21,Fri Jan 22 2021 20:22:21 GMT-0500 (GMT-05:00)
23-00-21,Sat Jan 23 2021 13:49:28 GMT-0500 (Eastern Standard Time)
23-10-20,Mon Nov 23 2020 16:05:38 GMT-0500 (GMT-05:00)
26-01-21,Fri Feb 26 2021 14:54:57 GMT-0500 (Eastern Standard Time)
27-00-21,Tue Jan 26 2021 21:16:07 GMT-0500 (Eastern Standard Time)
29-10-20,Sat Nov 28 2020 21:45:58 GMT-0500 (Cuba Standard Time)
29-10-20,Sun Nov 29 2020 10:58:15 GMT-0500 (GMT-05:00)
29-10-20,Sun Nov 29 2020 13:25:10 GMT-0500 (GMT-05:00)
31-02-21,Wed Mar 31 2021 12:38:20 GMT-0400 (GMT-04:00)
NA,Fri Nov 20 2020 20:54:23 GMT-0500 (Eastern Standard Time)
NA,Mon Mar 15 2021 17:45:09 GMT-0400 (Eastern Daylight Time)
NA,Sat Jan 23 2021 11:22:30 GMT-0500 (Eastern Standard Time)
NA,Sun Dec 06 2020 21:25:31 GMT-0600 (Central Standard Time)
NA,Sun Jan 17 2021 23:20:03 GMT-0500 (Eastern Standard Time)
NA,Thu Mar 11 2021 21:22:38 GMT-0500 (Eastern Standard Time)
NA,Thu Mar 18 2021 19:08:06 GMT-0400 (Eastern Daylight Time)
NA,Tue Nov 10 2020 13:28:28 GMT-0500 (Eastern Standard Time)
NA,Wed Jan 20 2021 19:22:05 GMT-0500 (Eastern Standard Time)
