date_startdateUTC,datetime
01-11-20,Tue Dec 01 2020 10:47:55 GMT-0500 (GMT-05:00)
02-01-21,Mon Feb 01 2021 19:30:19 GMT-0500 (Eastern Standard Time)
04-10-20,Wed Nov 04 2020 13:43:46 GMT-0500 (Eastern Standard Time)
05-03-21,Mon Apr 05 2021 17:37:17 GMT-0400 (Eastern Daylight Time)
06-11-20,Sat Dec 05 2020 21:04:14 GMT-0500 (Eastern Standard Time)
06-11-20,Sun Dec 06 2020 16:25:02 GMT-0500 (GMT-05:00)
07-11-20,Mon Dec 07 2020 00:13:51 GMT-0500 (Eastern Standard Time)
07-11-20,Sun Dec 06 2020 22:21:16 GMT-0500 (Eastern Standard Time)
08-02-21,Mon Mar 08 2021 16:07:07 GMT-0500 (Eastern Standard Time)
09-01-21,Tue Feb 09 2021 12:56:52 GMT-0500 (Eastern Standard Time)
11-00-21,Mon Jan 11 2021 15:42:22 GMT-0500 (GMT-05:00)
11-00-21,Mon Jan 11 2021 16:10:18 GMT-0500 (Eastern Standard Time)
14-01-21,Sun Feb 14 2021 11:37:20 GMT-0500 (Eastern Standard Time)
14-03-21,Wed Apr 14 2021 14:32:20 GMT-0400 (Eastern Daylight Time)
15-00-21,Thu Jan 14 2021 19:28:36 GMT-0500 (Eastern Standard Time)
16-01-21,Tue Feb 16 2021 17:58:52 GMT-0500 (Eastern Standard Time)
19-01-21,Thu Feb 18 2021 21:46:22 GMT-0500 (Eastern Standard Time)
20-03-21,Tue Apr 20 2021 15:47:04 GMT-0400 (Eastern Daylight Time)
21-02-21,Sat Mar 20 2021 20:26:48 GMT-0400 (Eastern Daylight Time)
21-09-20,Wed Oct 21 2020 18:39:11 GMT-0400 (Eastern Daylight Time)
22-02-21,Mon Mar 22 2021 17:05:42 GMT-0400 (GMT-04:00)
23-00-21,Fri Jan 22 2021 22:07:41 GMT-0500 (Eastern Standard Time)
23-00-21,Sat Jan 23 2021 15:19:37 GMT-0500 (Eastern Standard Time)
23-00-21,Sat Jan 23 2021 16:48:11 GMT-0500 (Eastern Standard Time)
23-02-21,Mon Mar 22 2021 22:49:51 GMT-0400 (UTC−04:00)
25-02-21,Thu Mar 25 2021 00:32:26 GMT-0400 (Eastern Daylight Time)
26-00-21,Tue Jan 26 2021 18:06:23 GMT-0500 (Eastern Standard Time)
27-01-21,Fri Feb 26 2021 23:06:24 GMT-0500 (GMT-05:00)
28-00-21,Wed Jan 27 2021 19:17:09 GMT-0500 (Eastern Standard Time)
28-02-21,Sun Mar 28 2021 19:10:41 GMT-0400 (GMT-04:00)
28-10-20,Sat Nov 28 2020 16:53:38 GMT-0500 (Eastern Standard Time)
29-10-20,Sun Nov 29 2020 17:52:00 GMT-0500 (Eastern Standard Time)
NA,Fri Apr 16 2021 22:51:28 GMT-0300 (Atlantic Daylight Time)
NA,Fri Mar 26 2021 22:42:00 GMT-0400 (Eastern Daylight Time)
NA,Mon Dec 14 2020 13:23:31 GMT-0500 (Eastern Standard Time)
NA,Sun Nov 29 2020 21:00:38 GMT-0500 (GMT-05:00)
NA,Thu Apr 15 2021 15:09:45 GMT-0300 (Atlantic Daylight Time)
NA,Thu Feb 11 2021 18:22:41 GMT-0500 (Eastern Standard Time)
NA,Tue Dec 08 2020 19:00:18 GMT-0500 (heure normale de l’Est)
NA,Wed Apr 14 2021 23:03:51 GMT-0300 (Atlantic Daylight Time)
NA,Wed Dec 23 2020 15:07:28 GMT-0500 (GMT-05:00)
