date_startdateUTC,datetime
02-02-21,Mon Mar 01 2021 22:16:44 GMT-0500 (Eastern Standard Time)
02-10-20,Mon Nov 02 2020 07:56:09 GMT-0500 (Eastern Standard Time)
03-02-21,Wed Mar 03 2021 06:20:49 GMT-0500 (heure normale de l’Est nord-américain)
04-03-21,Sun Apr 04 2021 15:16:18 GMT-0400 (GMT-04:00)
04-11-20,Fri Dec 04 2020 15:03:43 GMT-0500 (Eastern Standard Time)
05-11-20,Fri Dec 04 2020 22:05:45 GMT-0500 (Eastern Standard Time)
06-01-21,Sat Feb 06 2021 01:19:28 GMT-0500 (heure normale de l’Est nord-américain)
07-11-20,Mon Dec 07 2020 15:33:49 GMT-0500 (Eastern Standard Time)
07-11-20,Mon Dec 07 2020 17:18:11 GMT-0500 (Eastern Standard Time)
07-11-20,Sun Dec 06 2020 21:59:09 GMT-0500 (Eastern Standard Time)
08-01-21,Mon Feb 08 2021 13:29:57 GMT-0500 (Eastern Standard Time)
08-01-21,Mon Feb 08 2021 17:00:02 GMT-0500 (Eastern Standard Time)
08-02-21,Mon Mar 08 2021 15:38:05 GMT-0500 (Eastern Standard Time)
08-11-20,Mon Dec 07 2020 20:22:56 GMT-0500 (Eastern Standard Time)
09-11-20,Wed Dec 09 2020 00:40:17 GMT-0500 (GMT-05:00)
10-02-21,Wed Mar 10 2021 15:37:06 GMT-0500 (Eastern Standard Time)
10-10-20,Tue Nov 10 2020 15:25:29 GMT-0500 (GMT-05:00)
13-00-21,Wed Jan 13 2021 13:56:09 GMT-0500 (GMT-05:00)
13-10-20,Fri Nov 13 2020 12:41:02 GMT-0500 (heure normale de l’Est nord-américain)
15-00-21,Fri Jan 15 2021 15:32:13 GMT-0500 (GMT-05:00)
18-01-21,Thu Feb 18 2021 16:07:41 GMT-0500 (GMT-05:00)
18-02-21,Thu Mar 18 2021 19:38:04 GMT-0400 (heure d’été de l’Est)
19-00-21,Tue Jan 19 2021 18:07:32 GMT-0500 (Eastern Standard Time)
20-03-21,Tue Apr 20 2021 11:14:18 GMT-0400 (Eastern Daylight Time)
20-10-20,Thu Nov 19 2020 19:37:34 GMT-0500 (Eastern Standard Time)
21-00-21,Wed Jan 20 2021 21:48:57 GMT-0500 (Eastern Standard Time)
21-09-20,Wed Oct 21 2020 19:15:49 GMT-0400 (Eastern Daylight Time)
23-10-20,Mon Nov 23 2020 07:58:45 GMT-0500 (Eastern Standard Time)
23-10-20,Mon Nov 23 2020 09:22:00 GMT-0500 (Eastern Standard Time)
25-00-21,Mon Jan 25 2021 15:53:20 GMT-0500 (Eastern Standard Time)
25-00-21,Sun Jan 24 2021 20:06:37 GMT-0500 (Eastern Standard Time)
27-01-21,Sat Feb 27 2021 18:05:58 GMT-0500 (Eastern Standard Time)
28-00-21,Thu Jan 28 2021 07:20:07 GMT-0500 (GMT-05:00)
NA,Fri Dec 04 2020 21:10:05 GMT-0500 (Eastern Standard Time)
NA,Mon Dec 07 2020 17:49:46 GMT-0500 (Eastern Standard Time)
NA,Mon Dec 07 2020 18:17:48 GMT-0500 (GMT-05:00)
NA,Mon Dec 07 2020 20:44:14 GMT-0500 (Eastern Standard Time)
NA,Sun Feb 07 2021 18:23:07 GMT-0500 (GMT-05:00)
NA,Sun Nov 22 2020 14:21:21 GMT-0500 (Eastern Standard Time)
NA,Thu Feb 04 2021 21:18:33 GMT-0500 (heure normale de l’Est nord-américain)
NA,Thu Nov 26 2020 10:45:46 GMT+0100 (Central European Standard Time)
NA,Wed Feb 17 2021 12:34:51 GMT-0500 (Eastern Standard Time)
