"Comp. Result ID ","Start Time ","Duration ","Batch","Worker ID ","Worker Type ","State ","Files ","Message "
"16781","2021/04/20 19:38:45","00:17:38","Participant links 389-399","5668","Personal Single","FINISHED","none","none"
"16599","2021/04/16 19:06:47","00:19:59","Participant links 389-399","5664","Personal Single","FAIL","none","none"
"14854","2021/04/14 15:57:05","00:20:35","Participant links 389-399","5667","Personal Single","FINISHED","none","none"
"14548","2021/04/13 20:33:12","00:17:36","Participant links 389-399","5663","Personal Single","FAIL","none","none"
"12971","2021/04/07 19:52:51","00:17:03","Participant links 389-399","5665","Personal Single","FINISHED","none","none"
"12647","2021/04/06 13:42:08","00:14:28","Participant link 431","8063","Personal Single","FINISHED","none","none"
"11885","2021/03/31 16:48:49","00:15:54","Participant link 433","8065","Personal Single","FINISHED","none","none"
"11860","2021/03/31 13:53:36","00:00:12","Participant link 430","8062","Personal Single","FAIL","none","none"
"11816","2021/03/31 08:58:10","00:17:07","Participant links 186-211","2094","Personal Single","FINISHED","none","none"
"11779","2021/03/31 01:11:18","00:02:16","Participant link 347-357","4319","Personal Single","FAIL","none","none"
"11758","2021/03/30 23:20:31","00:00:03","Participant link 329","4020","Personal Single","FAIL","none","none"
"11752","2021/03/30 23:05:05","00:03:20","Participant links 186-211","2091","Personal Single","FAIL","none","none"
"11728","2021/03/30 21:28:13","00:15:56","Participant links 186-211","2093","Personal Single","FINISHED","none","none"
"11661","2021/03/30 18:05:48","00:00:19","Participant link 347-357","4320","Personal Single","FAIL","none","none"
"10557","2021/03/19 21:47:40","00:14:37","Participant links 389-399","5662","Personal Single","FINISHED","none","none"
"9876","2021/03/11 18:37:34","00:15:47","Participant link 411","6016","Personal Single","FINISHED","none","none"
"9748","2021/03/10 12:41:13","00:02:57","Participant links 389-399","5661","Personal Single","FAIL","none","none"
"9235","2021/03/05 02:53:17","00:15:49","Participant links 186-211","2083","Personal Single","FINISHED","none","none"
"8624","2021/02/27 22:49:22","00:16:00","Participant link 412","6150","Personal Single","FINISHED","none","none"
"8424","2021/02/26 14:29:03","00:01:29","Participant link 347-357","4314","Personal Single","FAIL","none","none"
"8184","2021/02/25 10:41:43","00:04:07","Participant link 347-357","4317","Personal Single","FAIL","none","none"
"8026","2021/02/22 18:16:31","00:14:50","Participant link 347-357","4318","Personal Single","FINISHED","none","none"
"7872","2021/02/21 10:30:31","00:21:48","Participant links 186-211","2097","Personal Single","FINISHED","none","none"
"7852","2021/02/20 16:34:48","00:15:58","Participant link 409","5701","Personal Single","FINISHED","none","none"
"7779","2021/02/19 16:49:27","00:00:51","Participant link 377","5592","Personal Single","FAIL","none","none"
"7543","2021/02/18 11:51:45","00:00:18","Participant link 375","5533","Personal Single","FAIL","none","none"
"7487","2021/02/17 17:34:45","00:00:05","Participant link 347-357","4316","Personal Single","FAIL","none","none"
"7408","2021/02/16 22:37:01","00:15:56","Participant link 347-357","4315","Personal Single","FINISHED","none","none"
"6983","2021/02/12 12:04:51","00:18:09","Participant link 368","5196","Personal Single","FINISHED","none","none"
"6982","2021/02/12 11:27:16","not yet","Participant link 347-357","4313","Personal Single","RESULTDATA_POSTED","none","none"
"6763","2021/02/09 19:26:11","not yet","Participant link 366","5054","Personal Single","RESULTDATA_POSTED","none","none"
"6659","2021/02/09 10:05:21","00:16:27","Participant links 186-211","2096","Personal Single","FINISHED","none","none"
"6579","2021/02/08 17:36:24","00:04:32","Participant link 347-357","4311","Personal Single","FAIL","none","none"
"5733","2021/02/02 21:16:39","00:18:45","Participant link 334","4274","Personal Single","FINISHED","none","none"
"5517","2021/01/29 17:58:17","00:01:25","Participant links 186-211","2090","Personal Single","FAIL","none","none"
"5232","2021/01/23 17:30:03","00:16:04","Participant links 186-211","2084","Personal Single","FINISHED","none","none"
"5208","2021/01/22 21:10:03","00:18:59","Participant links 186-211","2082","Personal Single","FINISHED","none","none"
"5205","2021/01/22 19:22:19","00:00:00","Participant link 324","3994","Personal Single","FAIL","none","none"
"5201","2021/01/22 17:52:04","16:30:19","Participant link 325","3996","Personal Single","FAIL","none","none"
"5197","2021/01/22 15:51:44","00:00:10","Participant links 186-211","2088","Personal Single","FAIL","none","none"
"5106","2021/01/21 18:27:32","00:05:06","Participant links 186-211","2087","Personal Single","FAIL","none","none"
"4792","2021/01/16 20:01:53","00:26:19","Participant links 186-211","2081","Personal Single","FINISHED","none","none"
"2982","2020/12/15 16:14:19","00:18:36","Participant links 51-55","1288","Personal Single","FINISHED","none","none"
"2907","2020/12/12 10:30:13","not yet","Participant link 318","2367","Personal Single","RESULTDATA_POSTED","none","none"
"2906","2020/12/11 17:47:07","01:20:35","Participant link 317","2366","Personal Single","FAIL","none","none"
