"Comp. Result ID","Start Time","Duration","Batch","Worker ID","Worker Type","State","Data Size","Files (Size)","Message"
"20273","2021/07/06 11:09:12","00:04:12","Participant link 467","13001","Personal Single","FAIL","1 B","none","none"
"19942","2021/06/22 16:57:03","00:10:24","Participant link 455","12500","Personal Single","FAIL","1 B","none","none"
"19412","2021/06/05 11:12:48","00:15:04","Participant link 450","12244","Personal Single","FINISHED","4.6 MB","none","none"
"18892","2021/05/26 23:10:17","00:02:01","Participant links 135-185","2071","Personal Single","FAIL","1 B","none","none"
"17975","2021/05/11 19:32:54","00:15:41","Participant links 135-185","2070","Personal Single","FINISHED","4.6 MB","none","none"
"17203","2021/04/29 17:11:39","00:15:09","Participant links 135-185","2066","Personal Single","FINISHED","4.6 MB","none","none"
"17202","2021/04/29 17:10:25","not yet","Participant links 1-20","1242","Personal Single","RESULTDATA_POSTED","473.0 kB","none","none"
"17047","2021/04/25 11:03:54","00:26:12","Participant links 135-185","2069","Personal Single","FINISHED","4.6 MB","none","none"
"16837","2021/04/21 22:21:43","17:02:48","Participant links 135-185","2062","Personal Single","FAIL","1 B","none","none"
"16815","2021/04/21 11:41:52","00:16:03","Participant link 438","10376","Personal Single","FINISHED","4.6 MB","none","none"
"16791","2021/04/20 20:52:36","not yet","Participant links 135-185","2067","Personal Single","RESULTDATA_POSTED","1 B","none","none"
"14540","2021/04/13 19:58:35","00:02:30","Participant links 135-185","2063","Personal Single","FAIL","1 B","none","none"
"12792","2021/04/06 22:49:51","13:05:54:33","Participant links 135-185","2060","Personal Single","FAIL","1 B","none","none"
"12176","2021/04/02 15:01:04","00:01:43","Participant links 135-185","2061","Personal Single","FAIL","562 B","none","none"
"11846","2021/03/31 12:38:10","00:16:14","Participant link 432","8064","Personal Single","FINISHED","4.6 MB","none","none"
"11781","2021/03/31 01:37:54","00:01:34","Participant links 135-185","2056","Personal Single","FAIL","1 B","none","none"
"10404","2021/03/18 19:07:38","00:07:42","Participant link 415","6619","Personal Single","FAIL","1.0 MB","none","none"
"10053","2021/03/15 17:44:40","00:12:13","Participant links 135-185","2059","Personal Single","FAIL","147.4 kB","none","none"
"9878","2021/03/11 21:21:19","00:10:54","Participant link 421","6756","Personal Single","FAIL","2.1 MB","none","none"
"9611","2021/03/09 15:35:12","not yet","Participant link 374","5479","Personal Single","RESULTDATA_POSTED","1 B","none","none"
