"Comp. Result ID","Start Time","Duration","Batch","Worker ID","Worker Type","State","Data Size","Files (Size)","Message"
"19964","2021/06/23 09:54:13","00:27:17","Participant link 459","12738","Personal Single","FAIL","4.5 MB","none","none"
"19790","2021/06/13 10:42:07","00:12:06","Participant link 453","12493","Personal Single","FAIL","1 B","none","none"
"19648","2021/06/10 17:42:01","00:02:17","Participant link 448","12035","Personal Single","FAIL","563 B","none","none"
"19556","2021/06/09 16:08:24","00:03:41","Participant link 456","12501","Personal Single","FAIL","1 B","none","none"
"19394","2021/06/04 16:45:11","00:00:40","Participant links 400-404","5675","Personal Single","FAIL","1 B","none","none"
"18898","2021/05/27 10:02:40","00:49:18","Participant links 400-404","5674","Personal Single","FAIL","4.5 MB","none","none"
"17276","2021/04/30 18:46:43","00:01:52","Participant link 442","11044","Personal Single","FAIL","1 B","none","none"
"17232","2021/04/30 00:17:48","00:28:19","Participant links 378-388","5660","Personal Single","FAIL","4.5 MB","none","none"
"17231","2021/04/29 23:39:40","00:28:46","Participant links 378-388","5652","Personal Single","FAIL","1 B","none","none"
"17223","2021/04/29 19:28:04","02:54:00","Participant links 378-388","5659","Personal Single","FINISHED","4.5 MB","none","none"
"17221","2021/04/29 17:49:43","00:02:14","Participant links 378-388","5656","Personal Single","FAIL","1 B","none","none"
"16831","2021/04/21 17:48:54","00:18:38","Participant links 400-404","5672","Personal Single","FAIL","1 B","none","none"
"16743","2021/04/20 11:13:39","00:17:06","Participant links 378-388","5658","Personal Single","FINISHED","4.5 MB","none","none"
"12448","2021/04/04 15:16:05","00:14:40","Participant links 378-388","5653","Personal Single","FINISHED","4.5 MB","none","none"
"10716","2021/03/22 14:26:23","not yet","Participant links 81-105","1337","Personal Single","RESULTDATA_POSTED","1 B","none","none"
"10409","2021/03/18 19:37:38","00:16:44","Participant link 424","6982","Personal Single","FINISHED","4.5 MB","none","none"
"10349","2021/03/18 13:14:54","11:23:41:59","Participant links 378-388","5651","Personal Single","FAIL","1 B","none","none"
"10046","2021/03/15 16:21:01","00:00:08","Participant link 425","7059","Personal Single","FAIL","1 B","none","none"
"10006","2021/03/14 18:55:56","00:21:17","Participant link 416","6621","Personal Single","FAIL","1 B","none","none"
"9889","2021/03/12 11:44:52","00:02:23","Participant links 335 - 345","4284","Personal Single","FAIL","1 B","none","none"
"9755","2021/03/10 15:36:58","00:16:22","Participant links 266-295","2180","Personal Single","FINISHED","4.5 MB","none","none"
"9507","2021/03/08 15:37:54","00:16:43","Participant link 420","6744","Personal Single","FINISHED","4.5 MB","none","none"
"9496","2021/03/08 11:14:58","not yet","Participant link 410","5835","Personal Single","RESULTDATA_POSTED","1 B","none","none"
"9226","2021/03/04 22:00:19","00:01:46","Participant links 266-295","2184","Personal Single","FAIL","1 B","none","none"
"9183","2021/03/04 10:37:41","00:00:46","Participant links 266-295","2171","Personal Single","FAIL","1 B","none","none"
"9026","2021/03/03 06:16:21","00:28:17","Participant links 335 - 345","4279","Personal Single","FINISHED","4.5 MB","none","none"
