exp_start,practice,attn_block,block,language,block_number,block_type,target_word,target_onset,sound,VOT,response,b_loc,jatos_id,lhq_id,age,gender,listening_age_English,speaking_age_English,reading_age_English,writing_age_English,yearstotal_age_English,listening_age_French,speaking_age_French,reading_age_French,writing_age_French,yearstotal_age_French,listening_ability_English,speaking_ability_English,reading_ability_English,writing_ability_English,listening_ability_French,speaking_ability_French,reading_ability_French,writing_ability_French,overall_ability_English,overall_ability_French,proficiency_diff,language_c,onset_c,headphones
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,bunny,b,e_bunny_p_25,25,p,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,-0.5002179123992155,Y
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,book,b,e_book_p_25,25,p,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,-0.5002179123992155,Y
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,bird,b,e_bird_p_15,15,p,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,-0.5002179123992155,Y
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,book,b,e_book_p_5,5,b,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,-0.5002179123992155,Y
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,bird,b,e_bird_b_15,-15,b,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,-0.5002179123992155,Y
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,puppy,p,e_puppy_b_20,-20,b,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,0.49978208760078446,Y
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,pen,p,e_pen_p_30,30,p,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,0.49978208760078446,Y
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,bird,b,e_bird_b_20,-20,b,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,-0.5002179123992155,Y
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,pillow,p,e_pillow_b_10,-10,b,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,0.49978208760078446,Y
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,bunny,b,e_bunny_p_15,15,p,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,-0.5002179123992155,Y
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,bird,b,e_bird_p_30,30,p,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,-0.5002179123992155,Y
Wed Jun 30 2021 14:28:10 GMT-0400 (heure d’été de l’Est),no,en_1_full_11922,en_1_full,en,1,full,bunny,b,e_bunny_p_0,0,b,left,11922,fydk8,24,Female,10,10,10,10,15,0,0,0,0,24,7,7,7,7,7,7,7,7,7,7,0,-0.5033050047214354,-0.5002179123992155,Y
